Timestamp,price
2009-12-01,19810
2009-11-01,18861
2009-10-01,18133
2009-09-01,17736
2009-08-01,17377
2009-07-01,16702
2009-06-01,16129
2009-05-01,15668
2009-04-01,15237
2009-03-01,15059
2009-02-01,14946
2009-01-01,14702
2010-12-01,22491
2010-11-01,22119
2010-10-01,22069
2010-09-01,21785
2010-08-01,21545
2010-07-01,21664
2010-06-01,21840
2010-05-01,22047
2010-04-01,21810
2010-03-01,21006
2010-02-01,20782
2010-01-01,20435
2011-12-01,22665
2011-11-01,23288
2011-10-01,23720
2011-09-01,23883
2011-08-01,23950
2011-07-01,23940
2011-06-01,23849
2011-05-01,23679
2011-04-01,23570
2011-03-01,23548
2011-02-01,23421
2011-01-01,23058
2012-12-01,23428
2012-11-01,23105
2012-10-01,22929
2012-09-01,22833
2012-08-01,22663
2012-07-01,22516
2012-06-01,22348
2012-05-01,22198
2012-04-01,22160
2012-03-01,22063
2012-02-01,21804
2012-01-01,22082
2013-12-01,29978
2013-11-01,29593
2013-10-01,28751
2013-09-01,28048
2013-08-01,27510
2013-07-01,27169
2013-06-01,26923
2013-05-01,26759
2013-04-01,26493
2013-03-01,25690
2013-02-01,24514
2013-01-01,23920
2014-12-01,30522
2014-11-01,30491
2014-10-01,30435
2014-09-01,30576
2014-08-01,30532
2014-07-01,30573
2014-06-01,30642
2014-05-01,30987
2014-04-01,30813
2014-03-01,30547
2014-02-01,30331
2014-01-01,30096
2015-12-01,35237
2015-11-01,34167
2015-10-01,33470
2015-09-01,33073
2015-08-01,32713
2015-07-01,32592
2015-06-01,32030
2015-05-01,31607
2015-04-01,31136
2015-03-01,31198
2015-02-01,31198
2015-01-01,30826
2016-12-01,52142
2016-11-01,51292
2016-10-01,49765
2016-09-01,48009
2016-08-01,46271
2016-07-01,45338
2016-06-01,45411
2016-05-01,45484
2016-04-01,45397
2016-03-01,43840
2016-02-01,37795
2016-01-01,36665
2017-12-01,50017
2017-11-01,49998
2017-10-01,50760
2017-09-01,50922
2017-08-01,50674
2017-07-01,52805
2017-06-01,53343
2017-05-01,53919
2017-04-01,51791
2017-03-01,52146
2017-02-01,53228
2017-01-01,52640
2018-12-01,49446
2018-11-01,50189
2018-10-01,50439
2018-09-01,50512
2018-08-01,50667
2018-07-01,50697
2018-06-01,50801
2018-05-01,50365
2018-04-01,50461
2018-03-01,51935
2018-02-01,51873
2018-01-01,50619
2019-12-01,50945
2019-11-01,50982
2019-10-01,51023
2019-09-01,50913
2019-08-01,50461
2019-07-01,50174
2019-06-01,50122
2019-05-01,49752
2019-04-01,49588
2019-03-01,49500
2019-02-01,49550
2019-01-01,49264
2020-04-01,51281
2020-03-01,51530
2020-02-01,51129
2020-01-01,50962
